,,,,,,,0
0.001,adam,32,3,relu,0.4,64,0.6512691179911295
0.001,adam,32,3,relu,0.4,128,0.6617431640625
0.001,adam,32,3,relu,0.4,256,0.6560666163762411
0.001,adam,32,3,swish,0.4,64,0.6559991637865702
0.001,adam,32,3,swish,0.4,128,0.6564452846844991
0.001,adam,32,3,swish,0.4,256,0.6562363107999166
0.001,adam,32,5,relu,0.4,256,0.6495586236317953
0.001,adam,32,5,relu,0.4,512,0.6553385655085245
0.001,adam,32,5,swish,0.4,256,0.6571413278579712
0.001,adam,32,5,swish,0.4,512,0.6540332635243734
0.001,adam,256,3,relu,0.4,64,0.6561766465504965
0.001,adam,256,3,relu,0.4,128,0.6578273971875509
0.001,adam,256,3,relu,0.4,256,0.6586036284764608
0.001,adam,256,3,swish,0.4,64,0.654566764831543
0.001,adam,256,3,swish,0.4,128,0.6533775726954142
0.001,adam,256,3,swish,0.4,256,0.6555380821228027
0.001,adam,256,5,relu,0.4,256,0.6507964134216309
0.001,adam,256,5,relu,0.4,512,0.6487641930580139
0.001,adam,256,5,swish,0.4,256,0.6549365719159445
0.001,adam,256,5,swish,0.4,512,0.6539398233095804
0.01,adam,32,3,relu,0.4,64,0.6546679337819418
0.01,adam,32,3,relu,0.4,128,0.6626973549524943
0.01,adam,32,3,relu,0.4,256,0.6529353260993958
0.01,adam,32,3,swish,0.4,64,0.6554114818572998
0.01,adam,32,3,swish,0.4,128,0.6509202321370443
0.01,adam,32,3,swish,0.4,256,0.6524311502774557
0.01,adam,32,5,relu,0.4,256,0.657853384812673
0.01,adam,32,5,relu,0.4,512,0.6610289017359415
0.01,adam,32,5,swish,0.4,256,0.6218650738398234
0.01,adam,32,5,swish,0.4,512,0.6244335770606995
0.01,adam,256,3,relu,0.4,64,0.6599669059117635
0.01,adam,256,3,relu,0.4,128,0.6586058139801025
0.01,adam,256,3,relu,0.4,256,0.6610637307167053
0.01,adam,256,3,swish,0.4,64,0.6513973275820414
0.01,adam,256,3,swish,0.4,128,0.6549675464630127
0.01,adam,256,3,swish,0.4,256,0.6591497659683228
0.01,adam,256,5,relu,0.4,256,0.6520640850067139
0.01,adam,256,5,relu,0.4,512,0.6600111126899719
0.01,adam,256,5,swish,0.4,256,0.6537004709243774
0.01,adam,256,5,swish,0.4,512,0.6572557687759399
0.1,adam,32,3,relu,0.4,64,0.5928775668144226
0.1,adam,32,3,relu,0.4,128,0.5643509825070699
0.1,adam,32,3,relu,0.4,256,0.5643509825070699
0.1,adam,32,3,swish,0.4,64,0.589201033115387
0.1,adam,32,3,swish,0.4,128,0.6200053493181864
0.1,adam,32,3,swish,0.4,256,0.5997239549954733
0.1,adam,32,5,relu,0.4,256,0.5643509825070699
0.1,adam,32,5,relu,0.4,512,0.5874872207641602
0.1,adam,32,5,swish,0.4,256,0.6215765078862509
0.1,adam,32,5,swish,0.4,512,0.6245795090993246
0.1,adam,256,3,relu,0.4,64,0.6238608360290527
0.1,adam,256,3,relu,0.4,128,0.6589977741241455
0.1,adam,256,3,relu,0.4,256,0.6547613739967346
0.1,adam,256,3,swish,0.4,64,0.6538602312405905
0.1,adam,256,3,swish,0.4,128,0.6566631197929382
0.1,adam,256,3,swish,0.4,256,0.6529845197995504
0.1,adam,256,5,relu,0.4,256,0.6242920358975729
0.1,adam,256,5,relu,0.4,512,0.6285754243532816
0.1,adam,256,5,swish,0.4,256,0.6234362324078878
0.1,adam,256,5,swish,0.4,512,0.6300039490063986
