,,,,,,,0
0.001,adam,32,3,relu,0.4,64,0.6608890493710836
0.001,adam,32,3,relu,0.4,128,0.6536684036254883
0.001,adam,32,3,relu,0.4,256,0.6561567385991415
0.001,adam,32,3,swish,0.4,64,0.6541427373886108
0.001,adam,32,3,swish,0.4,128,0.6547757188479105
0.001,adam,32,3,swish,0.4,256,0.6534926096598307
0.001,adam,32,5,relu,0.4,256,0.6525893012682596
0.001,adam,32,5,relu,0.4,512,0.6597750584284464
0.001,adam,32,5,swish,0.4,256,0.6542372504870096
0.001,adam,32,5,swish,0.4,512,0.6557619969050089
0.001,adam,256,3,relu,0.4,64,0.656034012635549
0.001,adam,256,3,relu,0.4,128,0.6594936847686768
0.001,adam,256,3,relu,0.4,256,0.6557354728380839
0.001,adam,256,3,swish,0.4,64,0.6520613034566244
0.001,adam,256,3,swish,0.4,128,0.657587468624115
0.001,adam,256,3,swish,0.4,256,0.6580446362495422
0.001,adam,256,5,relu,0.4,256,0.6472892165184021
0.001,adam,256,5,relu,0.4,512,0.6603306730588278
0.001,adam,256,5,swish,0.4,256,0.6502408186594645
0.001,adam,256,5,swish,0.4,512,0.6542040904362997
0.01,adam,32,3,relu,0.4,64,0.6574122111002604
0.01,adam,32,3,relu,0.4,128,0.6485618750254313
0.01,adam,32,3,relu,0.4,256,0.6557653546333313
0.01,adam,32,3,swish,0.4,64,0.6543781956036886
0.01,adam,32,3,swish,0.4,128,0.6559510429700216
0.01,adam,32,3,swish,0.4,256,0.6550278266270956
0.01,adam,32,5,relu,0.4,256,0.6514509916305542
0.01,adam,32,5,relu,0.4,512,0.6499555508295695
0.01,adam,32,5,swish,0.4,256,0.6247210303942362
0.01,adam,32,5,swish,0.4,512,0.6257194677988688
0.01,adam,256,3,relu,0.4,64,0.6543997923533121
0.01,adam,256,3,relu,0.4,128,0.6530354221661886
0.01,adam,256,3,relu,0.4,256,0.6483208338419596
0.01,adam,256,3,swish,0.4,64,0.6535108288129171
0.01,adam,256,3,swish,0.4,128,0.6531111200650533
0.01,adam,256,3,swish,0.4,256,0.6546822786331177
0.01,adam,256,5,relu,0.4,256,0.6531902154286703
0.01,adam,256,5,relu,0.4,512,0.6584460536638895
0.01,adam,256,5,swish,0.4,256,0.6485601862271627
0.01,adam,256,5,swish,0.4,512,0.656365692615509
0.1,adam,32,3,relu,0.4,64,0.6048818429311117
0.1,adam,32,3,relu,0.4,128,0.5789182583491007
0.1,adam,32,3,relu,0.4,256,0.6245795090993246
0.1,adam,32,3,swish,0.4,64,0.6300028562545776
0.1,adam,32,3,swish,0.4,128,0.6231498718261719
0.1,adam,32,3,swish,0.4,256,0.6245773037274679
0.1,adam,32,5,relu,0.4,256,0.6150087912877401
0.1,adam,32,5,relu,0.4,512,0.6227285663286845
0.1,adam,32,5,swish,0.4,256,0.6272884209950765
0.1,adam,32,5,swish,0.4,512,0.624576210975647
0.1,adam,256,3,relu,0.4,64,0.6594361265500387
0.1,adam,256,3,relu,0.4,128,0.6522105932235718
0.1,adam,256,3,relu,0.4,256,0.6527783473332723
0.1,adam,256,3,swish,0.4,64,0.6546994050343832
0.1,adam,256,3,swish,0.4,128,0.6536656220753988
0.1,adam,256,3,swish,0.4,256,0.6554927627245585
0.1,adam,256,5,relu,0.4,256,0.6274332602818807
0.1,adam,256,5,relu,0.4,512,0.6327172915140787
0.1,adam,256,5,swish,0.4,256,0.6254352927207947
0.1,adam,256,5,swish,0.4,512,0.6268627246220907
