,,,,,0
50,2,1,sqrt,100,"[0.6429927838966958, 0.65807962529274, 0.6735218508997429]"
50,2,1,sqrt,1000,"[0.6422331940751994, 0.6434426229508197, 0.6606683804627249]"
50,2,1,sqrt,,"[0.6270413976452716, 0.6428571428571429, 0.6426735218508998]"
50,2,1,,100,"[0.6372958602354728, 0.6627634660421545, 0.6555269922879178]"
50,2,1,,1000,"[0.6262818078237752, 0.6528103044496487, 0.6915167095115681]"
50,2,1,,,"[0.6164071401443221, 0.6375878220140515, 0.6298200514138818]"
50,2,10,sqrt,100,"[0.6445119635396885, 0.6516393442622951, 0.6683804627249358]"
50,2,10,sqrt,1000,"[0.641473604253703, 0.6569086651053864, 0.6683804627249358]"
50,2,10,sqrt,,"[0.643372578807444, 0.6557377049180327, 0.6632390745501285]"
50,2,10,,100,"[0.6323585263957463, 0.6668618266978923, 0.6812339331619537]"
50,2,10,,1000,"[0.6323585263957463, 0.6639344262295082, 0.6683804627249358]"
50,2,10,,,"[0.6391948347892138, 0.6539812646370023, 0.6555269922879178]"
50,2,100,sqrt,100,"[0.6448917584504368, 0.6604215456674473, 0.6606683804627249]"
50,2,100,sqrt,1000,"[0.6418533991644512, 0.6615925058548009, 0.6555269922879178]"
50,2,100,sqrt,,"[0.6429927838966958, 0.6504683840749415, 0.6606683804627249]"
50,2,100,,100,"[0.6479301177364223, 0.6610070257611241, 0.6503856041131105]"
50,2,100,,1000,"[0.6471705279149259, 0.6639344262295082, 0.6555269922879178]"
50,2,100,,,"[0.6464109380934295, 0.65807962529274, 0.6606683804627249]"
50,10,1,sqrt,100,"[0.6437523737181922, 0.6574941451990632, 0.6683804627249358]"
50,10,1,sqrt,1000,"[0.6403342195214584, 0.6411007025761124, 0.6375321336760925]"
50,10,1,sqrt,,"[0.6346372958602354, 0.6492974238875878, 0.6503856041131105]"
50,10,1,,100,"[0.6452715533611849, 0.6539812646370023, 0.6606683804627249]"
50,10,1,,1000,"[0.6118496012153437, 0.629976580796253, 0.6632390745501285]"
50,10,1,,,"[0.6076718571971136, 0.6375878220140515, 0.6658097686375322]"
50,10,10,sqrt,100,"[0.6464109380934295, 0.6598360655737705, 0.6555269922879178]"
50,10,10,sqrt,1000,"[0.6471705279149259, 0.664519906323185, 0.6658097686375322]"
50,10,10,sqrt,,"[0.6410938093429548, 0.6545667447306791, 0.6760925449871465]"
50,10,10,,100,"[0.6456513482719332, 0.6563231850117096, 0.6426735218508998]"
50,10,10,,1000,"[0.6327383213064945, 0.6475409836065574, 0.6298200514138818]"
50,10,10,,,"[0.6380554500569693, 0.6487119437939111, 0.6632390745501285]"
50,10,100,sqrt,100,"[0.6502088872009115, 0.6586651053864169, 0.6606683804627249]"
50,10,100,sqrt,1000,"[0.6475503228256742, 0.6604215456674473, 0.6632390745501285]"
50,10,100,sqrt,,"[0.6467907330041778, 0.6569086651053864, 0.6606683804627249]"
50,10,100,,100,"[0.6399544246107102, 0.664519906323185, 0.6580976863753213]"
50,10,100,,1000,"[0.6426129889859475, 0.664519906323185, 0.6658097686375322]"
50,10,100,,,"[0.6445119635396885, 0.6604215456674473, 0.6555269922879178]"
50,100,1,sqrt,100,"[0.6407140144322067, 0.6610070257611241, 0.6555269922879178]"
50,100,1,sqrt,1000,"[0.639574629699962, 0.6598360655737705, 0.6503856041131105]"
50,100,1,sqrt,,"[0.6388150398784657, 0.6569086651053864, 0.6606683804627249]"
50,100,1,,100,"[0.6429927838966958, 0.6604215456674473, 0.6529562982005142]"
50,100,1,,1000,"[0.6285605772882643, 0.6528103044496487, 0.6555269922879178]"
50,100,1,,,"[0.6331181162172427, 0.6639344262295082, 0.6452442159383034]"
50,100,10,sqrt,100,"[0.6388150398784657, 0.6492974238875878, 0.6632390745501285]"
50,100,10,sqrt,1000,"[0.6407140144322067, 0.6692037470725996, 0.6786632390745502]"
50,100,10,sqrt,,"[0.6456513482719332, 0.6598360655737705, 0.6632390745501285]"
