,,,,,0
50,2,10,sqrt,1000,0.666882189145155
50,2,100,,100,0.664134556354818
50,100,100,sqrt,,0.663517500806032
50,10,100,,100,0.663243253895461
100,100,100,,1000,0.662934849687469
100,2,100,,,0.662778961287942
400,100,100,,1000,0.662602566200958
50,100,100,,,0.662407406169732
100,2,1,sqrt,100,0.662389728457389
400,100,100,,,0.66222277129021
400,2,10,sqrt,100,0.662089020425987
50,10,100,sqrt,,0.662009389930692
100,2,10,,100,0.661995492187926
100,100,100,,,0.661991168602399
100,10,100,sqrt,,0.661880506267945
50,10,100,,,0.661835280202872
100,100,10,sqrt,1000,0.66168480262077
50,2,1,sqrt,100,0.661641207403545
100,2,100,,100,0.661621898843354
50,100,100,sqrt,1000,0.661593152363359
100,100,100,sqrt,1000,0.661344822957669
400,100,1,sqrt,1000,0.661310665660249
100,100,100,,100,0.66127909020514
400,10,100,,100,0.66110498047732
400,10,1,sqrt,100,0.661076233997325
400,100,100,sqrt,100,0.661073405022211
100,100,10,sqrt,100,0.661007672269682
400,2,100,,,0.660928041774387
400,10,100,,,0.660906991470981
100,100,100,sqrt,,0.660733425359111
400,2,100,,1000,0.660701306288052
400,2,100,,100,0.660653794863815
100,2,100,sqrt,1000,0.660556486656177
100,10,10,,100,0.660476312544933
400,100,100,,100,0.660324340352418
100,2,100,sqrt,100,0.660201114639898
400,2,10,sqrt,,0.660190045872246
50,100,100,,100,0.660150774240548
400,10,100,,1000,0.660118655169489
50,2,100,sqrt,,0.660097604866083
400,100,100,sqrt,,0.659999753042496
100,2,100,sqrt,,0.659942260082505
400,2,1,,100,0.659897034017433
400,100,10,,1000,0.659731164082152
400,100,100,sqrt,1000,0.659710113778746
50,100,100,,1000,0.659709570162796
100,10,100,sqrt,100,0.659641552051103
400,2,1,sqrt,100,0.659612261955158
50,2,100,,1000,0.659565294146871
50,10,10,sqrt,100,0.659446392019877
400,10,100,sqrt,,0.659338015044587
100,100,100,sqrt,100,0.659211416741004
100,2,100,,1000,0.659163905316767
400,100,1,,100,0.659156209140178
400,2,100,sqrt,1000,0.659103583381663
50,100,10,sqrt,100,0.659085362053371
400,10,1,sqrt,1000,0.659003693331714
400,2,10,,100,0.658939998805546
50,10,100,,1000,0.658903556148962
400,10,100,sqrt,100,0.658890202022145
100,10,100,,,0.658863740901314
400,100,10,sqrt,1000,0.658824469269616
50,100,100,sqrt,100,0.658723788470915
400,100,10,sqrt,100,0.65862930923839
400,10,100,sqrt,1000,0.65857896883904
400,10,10,,100,0.658433605591215
50,2,10,sqrt,100,0.658275431832524
50,10,1,,100,0.658161100423859
100,10,100,,100,0.65812237240811
50,2,100,sqrt,1000,0.658061506857057
50,10,100,sqrt,100,0.657957046088779
100,10,100,sqrt,1000,0.657877415593483
400,10,10,sqrt,1000,0.657877415593483
100,10,100,,1000,0.657858650649242
400,2,100,sqrt,,0.65781655004243
50,10,10,,100,0.657769038618193
100,100,10,sqrt,,0.657740292138198
100,10,10,sqrt,1000,0.657735424936722
400,2,100,sqrt,100,0.657711002042253
400,100,10,,100,0.657702762249714
400,10,10,sqrt,,0.65758494735462
400,100,1,sqrt,100,0.657566182410378
100,10,1,sqrt,100,0.657429058955092
100,100,1,sqrt,1000,0.657381547530855
400,2,10,sqrt,1000,0.657371022379152
400,100,10,sqrt,,0.657334036106618
100,10,1,,100,0.657188672858794
100,2,10,sqrt,100,0.657059789196047
50,10,100,sqrt,1000,0.657048720428395
50,100,1,sqrt,100,0.656800934638654
100,2,1,,100,0.656611976173605
100,100,1,sqrt,100,0.656487663229187
50,100,10,sqrt,,0.656482548894909
100,100,10,,,0.656430170269196
100,100,1,sqrt,,0.655978984655692
400,10,10,sqrt,100,0.655870607680401
50,10,1,sqrt,100,0.655805418543821
400,10,1,,100,0.655757907119585
50,2,10,,100,0.655648986528345
100,10,10,sqrt,,0.65531333045077
100,10,10,sqrt,100,0.655309550481193
100,100,1,,100,0.655239901521652
50,2,100,sqrt,100,0.654866604660227
50,10,10,sqrt,1000,0.65467655896328
50,100,10,sqrt,1000,0.654507860052885
50,10,10,sqrt,,0.654496000536481
400,100,1,sqrt,,0.654315528996773
400,2,1,sqrt,1000,0.654156268006183
50,100,10,,100,0.653574160503569
400,100,10,,,0.653238504425995
50,2,1,,100,0.653155093961123
100,2,10,sqrt,,0.652594987756378
100,10,10,,,0.652546932716192
50,2,100,,,0.652036759532284
400,10,10,,1000,0.651993571693573
50,100,1,,100,0.651192968497164
50,100,1,sqrt,1000,0.651140589871451
100,100,10,,1000,0.65110509820933
400,10,10,,,0.650851901602164
100,100,10,,100,0.650797781233237
50,2,10,,1000,0.650216081109137
100,2,10,,1000,0.650165740709786
100,10,10,,1000,0.649736692631586
400,2,10,,1000,0.649717927687344
100,2,1,sqrt,1000,0.649652194934815
100,2,10,sqrt,1000,0.649549475909752
400,10,1,sqrt,,0.649488066742749
50,100,10,,,0.648846180920981
50,2,10,sqrt,,0.648255290009879
400,2,10,,,0.648094287276074
50,100,1,sqrt,,0.647295425822879
400,2,1,sqrt,,0.646696591602385
50,100,10,,1000,0.646575107633081
50,10,10,,,0.64632419638508
50,2,10,,,0.64387955698531
100,10,1,sqrt,,0.642702938847728
100,10,1,sqrt,1000,0.642230159314868
400,100,1,,1000,0.640999667941162
100,100,1,,,0.640876442228643
50,100,1,,1000,0.640265995624547
50,10,10,,1000,0.639611002808765
100,100,1,,1000,0.639402192167576
50,10,1,sqrt,1000,0.638845211421092
100,2,10,,,0.638779478668562
50,2,1,sqrt,1000,0.635998775812704
400,100,1,,,0.634524278618834
100,2,1,sqrt,,0.629995239037049
50,10,1,sqrt,,0.626512192186882
400,2,1,,1000,0.626229816379139
50,100,1,,,0.625850701321775
50,2,1,sqrt,,0.62437848948707
50,2,1,,1000,0.618569569126691
100,2,1,,1000,0.613124347462221
100,10,1,,1000,0.6129489033697
400,10,1,,,0.612340878362205
400,10,1,,1000,0.609432242838062
400,2,1,,,0.609226804787936
50,10,1,,,0.607322036046532
100,10,1,,,0.59566856876001
50,2,1,,,0.593603477138185
50,10,1,,1000,0.591173526229933
100,2,1,,,0.589977303049014
