,,,,,,,0
0.01,0,3,0,0.5,100,0.7,"[0.6547664261298899, 0.6585365853658537, 0.6606683804627249]"
0.01,0,3,0,0.5,100,1.0,"[0.653247246486897, 0.6581086863500214, 0.6658097686375322]"
0.01,0,3,0,0.5,200,0.7,"[0.6524876566654007, 0.6602481814291827, 0.6658097686375322]"
0.01,0,3,0,0.5,200,1.0,"[0.6490695024686669, 0.6598202824133504, 0.6709511568123393]"
0.01,0,3,0,0.5,400,0.7,"[0.6509684770224079, 0.6619597774925118, 0.6632390745501285]"
0.01,0,3,0,0.5,400,1.0,"[0.6536270413976453, 0.6632434745400085, 0.6632390745501285]"
0.01,0,3,0,1.0,100,0.7,"[0.6566654006836309, 0.658964484381686, 0.6606683804627249]"
0.01,0,3,0,1.0,100,1.0,"[0.6559058108621344, 0.6585365853658537, 0.6683804627249358]"
0.01,0,3,0,1.0,200,0.7,"[0.6509684770224079, 0.6585365853658537, 0.6580976863753213]"
0.01,0,3,0,1.0,200,1.0,"[0.6517280668439043, 0.6602481814291827, 0.6580976863753213]"
0.01,0,3,0,1.0,400,0.7,"[0.6494492973794151, 0.6615318784766795, 0.6580976863753213]"
0.01,0,3,0,1.0,400,1.0,"[0.6498290922901633, 0.6611039794608472, 0.6555269922879178]"
0.01,0,3,5,0.5,100,0.7,"[0.655146221040638, 0.6581086863500214, 0.6658097686375322]"
0.01,0,3,5,0.5,100,1.0,"[0.6524876566654007, 0.658964484381686, 0.6658097686375322]"
0.01,0,3,5,0.5,200,0.7,"[0.6543866312191416, 0.6585365853658537, 0.6632390745501285]"
0.01,0,3,5,0.5,200,1.0,"[0.6498290922901633, 0.660676080445015, 0.6683804627249358]"
0.01,0,3,5,0.5,400,0.7,"[0.6505886821116597, 0.6581086863500214, 0.6606683804627249]"
0.01,0,3,5,0.5,400,1.0,"[0.6543866312191416, 0.6628155755241762, 0.6580976863753213]"
0.01,0,3,5,1.0,100,0.7,"[0.6566654006836309, 0.658964484381686, 0.6606683804627249]"
0.01,0,3,5,1.0,100,1.0,"[0.6559058108621344, 0.6585365853658537, 0.6683804627249358]"
0.01,0,3,5,1.0,200,0.7,"[0.6513482719331561, 0.6585365853658537, 0.6555269922879178]"
0.01,0,3,5,1.0,200,1.0,"[0.6517280668439043, 0.660676080445015, 0.6580976863753213]"
0.01,0,3,5,1.0,400,0.7,"[0.6513482719331561, 0.658964484381686, 0.6658097686375322]"
