,,,,,,,0
0.01,0,3,0,0.5,100,0.7,"[0.6418533991644512, 0.652545999144202, 0.6452442159383034]"
0.01,0,3,0,0.5,100,1.0,"[0.6452715533611849, 0.6576807873341891, 0.6555269922879178]"
0.01,0,3,0,0.5,200,0.7,"[0.6464109380934295, 0.6508344030808729, 0.6580976863753213]"
0.01,0,3,0,0.5,200,1.0,"[0.6418533991644512, 0.6504065040650406, 0.6606683804627249]"
0.01,0,3,0,0.5,400,0.7,"[0.6456513482719332, 0.6534017971758665, 0.6606683804627249]"
0.01,0,3,0,0.5,400,1.0,"[0.643372578807444, 0.6521181001283697, 0.6683804627249358]"
0.01,0,3,0,1.0,100,0.7,"[0.6490695024686669, 0.6474112109542148, 0.6503856041131105]"
0.01,0,3,0,1.0,100,1.0,"[0.6521078617546525, 0.6555412922550278, 0.6555269922879178]"
0.01,0,3,0,1.0,200,0.7,"[0.643372578807444, 0.6495507060333762, 0.6452442159383034]"
0.01,0,3,0,1.0,200,1.0,"[0.6403342195214584, 0.6482670089858793, 0.6452442159383034]"
0.01,0,3,0,1.0,400,0.7,"[0.6403342195214584, 0.646127513906718, 0.6529562982005142]"
0.01,0,3,0,1.0,400,1.0,"[0.639574629699962, 0.6478391099700471, 0.6503856041131105]"
0.01,0,3,5,0.5,100,0.7,"[0.6445119635396885, 0.654257595207531, 0.6529562982005142]"
0.01,0,3,5,0.5,100,1.0,"[0.6460311431826814, 0.6585365853658537, 0.6555269922879178]"
0.01,0,3,5,0.5,200,0.7,"[0.6460311431826814, 0.6499786050492083, 0.6580976863753213]"
0.01,0,3,5,0.5,200,1.0,"[0.6426129889859475, 0.6499786050492083, 0.6580976863753213]"
0.01,0,3,5,0.5,400,0.7,"[0.6448917584504368, 0.6516902011125374, 0.6503856041131105]"
0.01,0,3,5,0.5,400,1.0,"[0.6410938093429548, 0.6516902011125374, 0.6580976863753213]"
