,,,,,,,0
0.01,0,3,0,0.5,100,0.7,0.6470536853174783
0.01,0,3,0,0.5,100,1.0,0.6568383445446269
0.01,0,3,0,0.5,200,0.7,0.6509722152591575
0.01,0,3,0,0.5,200,1.0,0.6514935431777131
0.01,0,3,0,0.5,400,0.7,0.6550024088001947
0.01,0,3,0,0.5,400,1.0,0.6543987073782256
0.01,0,3,0,1.0,100,0.7,0.6479957361574711
0.01,0,3,0,1.0,100,1.0,0.6548370824808629
0.01,0,3,0,1.0,200,0.7,0.6531448797391781
0.01,0,3,0,1.0,200,1.0,0.6528407997194838
0.01,0,3,0,1.0,400,0.7,0.6576012929860728
0.01,0,3,0,1.0,400,1.0,0.6529552426262867
0.01,0,3,5,0.5,100,0.7,0.6474655496316158
0.01,0,3,5,0.5,100,1.0,0.657613969067818
0.01,0,3,5,0.5,200,0.7,0.6529541426288167
0.01,0,3,5,0.5,200,1.0,0.6501634213351071
0.01,0,3,5,0.5,400,0.7,0.6546226138894465
0.01,0,3,5,0.5,400,1.0,0.6536684076526738
0.01,0,3,5,1.0,100,0.7,0.6495176951079087
0.01,0,3,5,1.0,100,1.0,0.6545518164703081
0.01,0,3,5,1.0,200,0.7,0.654430776781615
0.01,0,3,5,1.0,200,1.0,0.6538242960522012
0.01,0,3,5,1.0,400,0.7,0.6572375327770194
0.01,0,3,5,1.0,400,1.0,0.6540653372625866
0.01,0,3,20,0.5,100,0.7,0.6468004887103128
0.01,0,3,20,0.5,100,1.0,0.6577886714764848
0.01,0,3,20,0.5,200,0.7,0.6518611826916814
0.01,0,3,20,0.5,200,1.0,0.6531951838392023
0.01,0,3,20,0.5,400,0.7,0.653765715860312
0.01,0,3,20,0.5,400,1.0,0.6531299450349535
0.01,0,3,20,1.0,100,0.7,0.6510689441542908
0.01,0,3,20,1.0,100,1.0,0.6535694201350609
0.01,0,3,20,1.0,200,0.7,0.6531940838417323
0.01,0,3,20,1.0,200,1.0,0.6533963970363689
0.01,0,3,20,1.0,400,0.7,0.6559223456386379
0.01,0,3,20,1.0,400,1.0,0.6573613517731574
0.01,0,6,0,0.5,100,0.7,0.6532609433284162
0.01,0,6,0,0.5,100,1.0,0.6591492452429747
0.01,0,6,0,0.5,200,0.7,0.6499245801196615
0.01,0,6,0,0.5,200,1.0,0.6525787477079485
0.01,0,6,0,0.5,400,0.7,0.6530829409273394
0.01,0,6,0,0.5,400,1.0,0.6511198275668196
0.01,0,6,0,1.0,100,0.7,0.6520049156944288
0.01,0,6,0,1.0,100,1.0,0.6622688780349038
0.01,0,6,0,1.0,200,0.7,0.6542400396712534
0.01,0,6,0,1.0,200,1.0,0.6581154448102333
