,,,,,,,0
0.1,0,3,0,0.5,100,0.7,0.662817875366969
0.01,0,3,0,0.5,100,0.7,0.662033912921443
0.01,1,3,0,0.5,100,0.7,0.662033912921443
0.01,5,3,0,0.5,100,0.7,0.661764681612583
0.01,0,3,5,0.5,100,0.7,0.661446246201169
0.01,1,3,5,0.5,100,0.7,0.661446246201169
0.01,5,3,5,0.5,100,0.7,0.661446246201169
0.01,0,6,0,0.5,200,1,0.661200808203833
0.01,5,6,0,0.5,400,1,0.661184773502138
0.01,1,3,5,0.5,400,0.7,0.660723705085447
0.1,1,3,0,0.5,100,0.7,0.66053464728506
0.01,5,3,20,0.5,400,0.7,0.660390334969808
0.01,0,3,20,0.5,400,0.7,0.660263736666225
0.01,1,3,20,0.5,400,0.7,0.660263736666225
0.01,5,3,5,0.5,400,0.7,0.660201277169421
0.01,0,3,0,1,200,1,0.660102868964313
0.01,1,3,0,1,200,1,0.660102868964313
0.01,5,3,0,1,200,1,0.660102868964313
0.01,0,3,0,0.5,400,0.7,0.660090713567533
0.01,1,3,0,0.5,400,0.7,0.660090713567533
0.01,0,3,5,0.5,400,0.7,0.659866807056312
0.01,5,3,20,0.5,100,1,0.659769498848674
0.01,1,6,0,0.5,200,1,0.659661714554231
0.01,0,3,5,1,200,1,0.659657835249316
0.01,1,3,5,1,200,1,0.659657835249316
0.01,5,3,5,1,200,1,0.659657835249316
0.01,0,3,5,0.5,400,1,0.659580441048287
0.01,0,6,20,0.5,400,0.7,0.659568285651507
0.01,0,3,20,1,200,1,0.659515202244039
0.01,1,3,20,1,200,1,0.659515202244039
0.01,5,3,0,0.5,200,1,0.659483132840649
0.01,5,3,20,1,200,1,0.659372569238761
0.01,1,3,5,0.5,400,1,0.659295175037733
0.01,5,3,5,0.5,400,1,0.659295175037733
0.01,5,3,0,0.5,400,0.7,0.659234915535868
0.01,0,3,20,0.5,100,1,0.65918293212587
0.01,1,3,20,0.5,100,1,0.65918293212587
0.01,5,3,5,0.5,200,1,0.659006029722263
0.01,0,3,0,0.5,200,1,0.658912600819539
0.01,1,3,0,0.5,200,1,0.658912600819539
0.01,5,3,0,1,200,0.7,0.658816971921876
0.01,0,3,5,0.5,200,1,0.658752833115097
0.01,1,3,5,0.5,200,1,0.658752833115097
0.2,5,6,5,1,100,0.7,0.658749536325617
0.2,5,6,5,1,200,0.7,0.658749536325617
0.2,5,6,5,1,400,0.7,0.658749536325617
0.01,0,6,20,0.5,200,1,0.658707508317458
0.01,5,3,20,0.5,100,0.7,0.658667680304239
0.01,0,3,20,1,400,1,0.658630114116429
0.01,1,3,20,0.5,200,1,0.65861020010982
0.01,5,3,20,0.5,200,1,0.65861020010982
0.01,0,3,0,0.5,400,1,0.658582010011345
0.01,1,3,0,0.5,400,1,0.658582010011345
0.01,5,3,20,0.5,400,1,0.658516771207097
0.01,0,3,20,0.5,200,1,0.658467567104543
0.1,5,3,5,0.5,100,1,0.658464787797098
0.01,5,3,20,1,400,1,0.658455411707763
0.01,0,3,20,0.5,100,0.7,0.658382414293684
0.01,1,3,20,0.5,100,0.7,0.658382414293684
0.01,0,3,0,1,200,0.7,0.658373038204349
0.01,1,3,0,1,200,0.7,0.658373038204349
0.2,5,3,20,1,100,0.7,0.658359782810099
0.2,5,3,20,1,200,0.7,0.658359782810099
0.2,5,3,20,1,400,0.7,0.658359782810099
0.01,5,3,0,0.5,400,1,0.65832881340418
0.1,0,3,20,0.5,100,0.7,0.658299523308235
0.01,5,3,5,1,200,0.7,0.658294544005851
0.01,0,3,0,1,100,1,0.658185080401432
0.01,0,3,5,1,100,1,0.658185080401432
0.01,1,3,0,1,100,1,0.658185080401432
0.01,1,3,5,1,100,1,0.658185080401432
0.01,5,3,0,1,100,1,0.658185080401432
0.01,5,3,5,1,100,1,0.658185080401432
0.1,5,3,0,0.5,100,1,0.658119841597184
0.1,0,3,0,0.5,200,0.7,0.658092172183674
0.01,5,3,20,0.5,200,0.7,0.65807283748957
0.01,0,3,0,0.5,100,1,0.6580717374921
0.01,1,3,0,0.5,100,1,0.6580717374921
0.01,5,3,0,0.5,100,1,0.6580717374921
0.01,0,10,20,0.5,200,0.7,0.658011477990236
0.1,0,3,5,0.5,100,0.7,0.658011477990236
0.01,0,3,20,1,200,0.7,0.657945139188517
0.01,1,3,20,1,200,0.7,0.657945139188517
0.01,5,3,5,0.5,100,1,0.657945139188517
0.01,0,3,5,1,200,0.7,0.657866644990018
0.01,1,3,5,1,200,0.7,0.657866644990018
0.01,1,3,20,1,400,1,0.657773216087295
0.1,5,3,0,0.5,100,0.7,0.6577571813856
0.01,0,10,20,1,200,0.7,0.6577306705971
0.01,5,3,0,1,400,1,0.657630583082017
0.01,0,3,20,0.5,200,0.7,0.657627803774573
0.01,1,3,20,0.5,200,0.7,0.657627803774573
0.1,1,3,0,0.5,100,1,0.657592955063739
0.01,1,6,20,0.5,200,1,0.657520019480129
0.01,5,6,5,0.5,200,1,0.657517240172685
0.01,1,3,20,0.5,400,1,0.657503984778435
0.01,5,3,20,1,200,0.7,0.657373507169937
0.01,0,6,20,1,200,0.7,0.657332061677213
0.01,1,6,20,0.5,400,0.7,0.657267922870434
0.1,0,3,0,1,100,0.7,0.657248008863825
0.01,0,3,5,0.5,100,1,0.65723197416213
0.01,1,3,5,0.5,100,1,0.65723197416213
0.01,0,3,20,1,100,1,0.657201584068715
0.01,1,3,20,1,100,1,0.657201584068715
0.01,5,3,20,1,100,1,0.657201584068715
0.1,0,3,5,0.5,100,1,0.657194925456356
0.01,0,3,20,0.5,400,1,0.657076085762603
0.01,5,6,0,0.5,200,1,0.657076085762603
0.01,1,6,5,0.5,200,1,0.657010846958354
0.1,5,3,20,1,100,0.7,0.656996491566634
0.1,5,3,20,1,200,0.7,0.656996491566634
0.1,5,3,20,1,400,0.7,0.656996491566634
0.1,5,3,5,1,100,0.7,0.656966101473219
0.1,5,3,5,1,200,0.7,0.656966101473219
0.1,5,3,5,1,400,0.7,0.656966101473219
0.1,1,3,0,1,100,0.7,0.65691631805816
0.1,0,3,20,0.5,100,1,0.656816230543077
0.01,0,3,0,0.5,200,0.7,0.656724480950329
0.01,1,3,0,0.5,200,0.7,0.656724480950329
0.01,5,3,5,0.5,200,0.7,0.65669241154694
0.01,0,3,5,0.5,200,0.7,0.656581847945051
0.01,1,3,5,0.5,200,0.7,0.656581847945051
0.01,5,6,5,0.5,400,1,0.656570792545742
0.01,5,3,5,1,400,1,0.656552557849107
0.01,5,6,20,0.5,200,0.7,0.656552557849107
0.01,0,3,0,1,100,0.7,0.656338027427221
0.01,0,3,5,1,100,0.7,0.656338027427221
0.01,1,3,0,1,100,0.7,0.656338027427221
0.01,1,3,5,1,100,0.7,0.656338027427221
0.01,5,3,0,1,100,0.7,0.656338027427221
0.01,5,3,5,1,100,0.7,0.656338027427221
0.01,1,6,0,0.5,400,1,0.656300461239411
0.01,0,3,5,1,400,1,0.656283326540247
0.1,1,3,5,0.5,100,0.7,0.656220287730938
0.01,5,3,0,0.5,200,0.7,0.656186018332609
0.01,0,3,0,1,400,1,0.65610862413158
0.01,1,3,0,1,400,1,0.65610862413158
0.01,0,3,20,1,100,0.7,0.656084830820056
0.01,1,3,20,1,100,0.7,0.656084830820056
0.01,5,3,20,1,100,0.7,0.656084830820056
0.1,0,3,0,0.5,100,1,0.656073775420746
0.01,5,10,0,0.5,200,0.7,0.656061620023966
0.1,0,3,20,1,100,1,0.655981446515492
0.1,1,3,5,0.5,100,1,0.655914007716304
0.01,1,10,20,0.5,200,0.7,0.655885817617829
0.1,5,3,0,1,100,1,0.655869782916134
0.1,5,3,0,1,200,1,0.655869782916134
0.1,5,3,0,1,400,1,0.655869782916134
0.1,5,3,20,1,100,1,0.655868682918664
0.1,5,3,20,1,200,1,0.655868682918664
0.1,5,3,20,1,400,1,0.655868682918664
0.01,1,3,5,1,400,1,0.655855427524414
0.1,5,3,0,1,100,0.7,0.655854327526944
0.1,5,3,0,1,200,0.7,0.655854327526944
0.1,5,3,0,1,400,0.7,0.655854327526944
0.01,5,6,20,0.5,400,0.7,0.65583719282778
0.01,1,6,20,1,200,0.7,0.655728829220832
0.01,0,6,20,1,200,1,0.655715573826582
0.01,1,6,20,1,200,1,0.655698439127417
0.2,5,3,0,1,100,0.7,0.655680725115748
0.2,5,3,0,1,200,0.7,0.655680725115748
0.2,5,3,0,1,400,0.7,0.655680725115748
0.1,1,3,20,0.5,100,0.7,0.655660811109138
